title,date,author_for_reference,pdf_url
Assessing Student Engagement in Online Programmes: Using Learning Design and Learning Analytics,2019-10-16,Maria Toro-Troconis,https://repository.falmouth.ac.uk/3600/1/16298-57675-1-PB.pdf
Assessing Student Engagement in Online Programmes: Using Learning Design and Learning Analytics,2019-10-16,Maria Toro-Troconis,https://repository.falmouth.ac.uk/3600/2/indexcodes.txt
Assessing Student Engagement in Online Programmes: Using Learning Design and Learning Analytics,2019-10-16,Maria Toro-Troconis,https://repository.falmouth.ac.uk/3600/3/lightbox.jpg
Assessing Student Engagement in Online Programmes: Using Learning Design and Learning Analytics,2019-10-16,Maria Toro-Troconis,https://repository.falmouth.ac.uk/3600/4/preview.jpg
Assessing Student Engagement in Online Programmes: Using Learning Design and Learning Analytics,2019-10-16,Maria Toro-Troconis,https://repository.falmouth.ac.uk/3600/5/medium.jpg
Assessing Student Engagement in Online Programmes: Using Learning Design and Learning Analytics,2019-10-16,Maria Toro-Troconis,https://repository.falmouth.ac.uk/3600/6/small.jpg
"Ragdres Hwithrans Darlesor Gonis Poblek Kernewek 
Cornish Public Service Broadcaster Research Project",2019-10-14,Denzil Monk,https://repository.falmouth.ac.uk/3673/1/cornish-public-service-broadcaster-research-project-scoping-study-report-july-2019.pdf
"Ragdres Hwithrans Darlesor Gonis Poblek Kernewek 
Cornish Public Service Broadcaster Research Project",2019-10-14,Denzil Monk,https://repository.falmouth.ac.uk/3673/2/indexcodes.txt
"Ragdres Hwithrans Darlesor Gonis Poblek Kernewek 
Cornish Public Service Broadcaster Research Project",2019-10-14,Denzil Monk,https://repository.falmouth.ac.uk/3673/3/lightbox.jpg
"Ragdres Hwithrans Darlesor Gonis Poblek Kernewek 
Cornish Public Service Broadcaster Research Project",2019-10-14,Denzil Monk,https://repository.falmouth.ac.uk/3673/4/preview.jpg
"Ragdres Hwithrans Darlesor Gonis Poblek Kernewek 
Cornish Public Service Broadcaster Research Project",2019-10-14,Denzil Monk,https://repository.falmouth.ac.uk/3673/5/medium.jpg
"Ragdres Hwithrans Darlesor Gonis Poblek Kernewek 
Cornish Public Service Broadcaster Research Project",2019-10-14,Denzil Monk,https://repository.falmouth.ac.uk/3673/6/small.jpg
Cutting through the Crap,2019-10-12,Rupert Loydell,https://repository.falmouth.ac.uk/3454/1/JoyDivision.docx
Cutting through the Crap,2019-10-12,Rupert Loydell,https://repository.falmouth.ac.uk/3454/2/indexcodes.txt
Look Through Water As We Look Through Air,2019-10-12,Rupert Loydell,https://repository.falmouth.ac.uk/3429/1/Cremona%20prose%20poem.docx
Look Through Water As We Look Through Air,2019-10-12,Rupert Loydell,https://repository.falmouth.ac.uk/3429/2/indexcodes.txt
Material Form,2019-10-12,Rupert Loydell,https://repository.falmouth.ac.uk/3431/1/Merz%20poem.docx
Material Form,2019-10-12,Rupert Loydell,https://repository.falmouth.ac.uk/3431/2/indexcodes.txt
Safety Net,2019-10-12,Rupert Loydell,https://repository.falmouth.ac.uk/3457/1/Safety%20Net.docx
Safety Net,2019-10-12,Rupert Loydell,https://repository.falmouth.ac.uk/3457/2/indexcodes.txt
"Trevor Paglen, From “Apple” to “Anomaly” (Pictures and Labels)",2019-10-10,Tim Clark,https://repository.falmouth.ac.uk/4003/1/Trevor%20Paglen%2C%20From%20_Apple_%20to%20_Anomaly_%20%28Pictures%20and%20Labels%29_BJP_TC.pdf
"Trevor Paglen, From “Apple” to “Anomaly” (Pictures and Labels)",2019-10-10,Tim Clark,https://repository.falmouth.ac.uk/4003/2/indexcodes.txt
